,gamma,true_positives,false_positives,false_negatives,true_negatives,error
82,1.2883482194515673e-11,1.0,1.0,0.0,0.0,0.35
83,1.3680973896342462e-11,1.0,1.0,0.0,0.0,0.35
84,1.4527830591645421e-11,1.0,1.0,0.0,0.0,0.35
85,1.5427107989437343e-11,1.0,1.0,0.0,0.0,0.35
86,1.638205094810416e-11,1.0,1.0,0.0,0.0,0.35
87,1.7396105183812124e-11,1.0,1.0,0.0,0.0,0.35
88,1.8472929703669173e-11,1.0,1.0,0.0,0.0,0.35
89,1.9616410008502985e-11,1.0,1.0,0.0,0.0,0.35
90,2.083067211289527e-11,1.0,1.0,0.0,0.0,0.35
91,2.212009743306068e-11,1.0,1.0,0.0,0.0,0.35
92,2.3489338596290238e-11,1.0,1.0,0.0,0.0,0.35
93,2.494333622900443e-11,1.0,1.0,0.0,0.0,0.35
94,2.6487336783992143e-11,1.0,1.0,0.0,0.0,0.35
95,2.812691147116152e-11,1.0,1.0,0.0,0.0,0.35
96,2.9867976360110305e-11,1.0,1.0,0.0,0.0,0.35
97,3.171681372705185e-11,1.0,1.0,0.0,0.0,0.35
98,3.368009472312271e-11,1.0,1.0,0.0,0.0,0.35
99,3.5764903445865725e-11,1.0,1.0,0.0,0.0,0.35
100,3.797876250074576e-11,1.0,1.0,0.0,0.0,0.35
101,4.0329660144931455e-11,1.0,1.0,0.0,0.0,0.35
102,4.2826079111285804e-11,1.0,1.0,0.0,0.0,0.35
103,4.5477027216571094e-11,1.0,1.0,0.0,0.0,0.35
104,4.8292069864311556e-11,1.0,1.0,0.0,0.0,0.35
105,5.128136455959373e-11,1.0,1.0,0.0,0.0,0.35
106,5.4455697560344066e-11,1.0,1.0,0.0,0.0,0.35
107,5.7826522797332644e-11,1.0,1.0,0.0,0.0,0.35
108,6.140600320333666e-11,1.0,1.0,0.0,0.0,0.35
109,6.52070546005945e-11,1.0,1.0,0.0,0.0,0.35
110,6.92433923049053e-11,1.0,1.0,0.0,0.0,0.35
111,7.352958061453838e-11,1.0,1.0,0.0,0.0,0.35
112,7.808108536252183e-11,1.0,1.0,0.0,0.0,0.35
113,8.29143297219348e-11,1.0,1.0,0.0,0.0,0.35
114,8.804675346556534e-11,1.0,1.0,0.0,0.0,0.35
115,9.349687589376008e-11,1.0,1.0,0.0,0.0,0.35
116,9.928436265752829e-11,1.0,1.0,0.0,0.0,0.35
117,1.0543009671801744e-10,1.0,1.0,0.0,0.0,0.35
118,1.1195625369840326e-10,1.0,1.0,0.0,0.0,0.35
119,1.1888638190008608e-10,1.0,1.0,0.0,0.0,0.35
120,1.262454872719155e-10,1.0,1.0,0.0,0.0,0.35
121,1.3406012363903763e-10,1.0,1.0,0.0,0.0,0.35
