,gamma,true_positives,false_positives,false_negatives,true_negatives,error
0,9.357622968840175e-14,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
1,9.936862847764411e-14,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
2,1.0551957861956802e-13,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
3,1.1205127455851122e-13,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
4,1.1898728458207205e-13,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
5,1.263526358624502e-13,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
6,1.3417390476187404e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
7,1.4247931272796275e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
8,1.5129882812504254e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
9,1.6066427436885404e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
10,1.7060944475483295e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
11,1.8117022439429829e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
12,1.9238471969853012e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
13,2.0429339587795325e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
14,2.1693922295256485e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
15,2.303678308004547e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
16,2.446276738038786e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
17,2.59770205686977e-13,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
18,2.7585006517600473e-13,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
19,2.929252731519888e-13,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
20,3.1105744200719934e-13,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
21,3.3031199796085356e-13,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
22,3.5075841713623324e-13,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
23,3.724704762510525e-13,1.0,0.9982857142857143,0.0,0.0017142857142857142,0.3494
24,3.955265188256395e-13,1.0,0.9982857142857143,0.0,0.0017142857142857142,0.3494
25,4.2000973786949083e-13,1.0,0.9982857142857143,0.0,0.0017142857142857142,0.3494
26,4.460084760662145e-13,1.0,0.9982857142857143,0.0,0.0017142857142857142,0.3494
27,4.736165445400181e-13,1.0,0.9982857142857143,0.0,0.0017142857142857142,0.3494
28,5.02933561353945e-13,1.0,0.998,0.0,0.002,0.3493
29,5.340653109612602e-13,1.0,0.998,0.0,0.002,0.3493
30,5.671241259069939e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
31,6.022292921569327e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
32,6.395074795166064e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
33,6.790931986933489e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
34,7.211292866506479e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
35,7.657674220060858e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
36,8.131686723325784e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
37,8.635040753377376e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
38,9.169552560184238e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
39,9.73715082017364e-13,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
40,1.0339883595465554e-12,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
41,1.0979925723885534e-12,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
42,1.1659586666421762e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
43,1.238131884044222e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
44,1.314772646874069e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
45,1.3961574976341576e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
46,1.4825800968969925e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
47,1.5743522829192016e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
48,1.6718051968460425e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
49,1.7752904775664341e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
50,1.885181530529897e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
51,2.0018748751036724e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
52,2.1257915753316837e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
53,2.2573787592579354e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
54,2.3971112322965206e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
55,2.5454931904697574e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
56,2.7030600396963108e-12,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
57,2.8703803276938396e-12,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
